name,price,used_for,colour,mileage,engine_cc,fuel,kilometer_run,waranty,types,is_automatic,is_4WD,age
Hyundai | i20 Active S | TDi | 2015 | Hatchback (Hyundai),"रू. 24,75,000रू. 25,00,000",Private Use,Brown,14.0,1400.0,1,42000.0,,,0,0,10
Excellent car on sale (Hyundai),"रू. 7,50,000",,Light blue,11.0,1399.0,1,87412.0,,,1,0,20
TATA 407 Container (Tata),"रू. 7,00,000",,White,,2956.0,2,60000.0,,,0,0,12
4x4 swaraj Mazda (Mahindra),"रू. 6,00,000",,,,,2,,,,0,1,8
i20 Active good for used few time (Hyundai),रू. 375,,white,17.0,1200.0,1,2400.0,,,1,0,6
Tata Sumo Gold 2014 GX (Tata),"रू. 14,00,000",,Artic Silver,12.0,2956.0,2,,,,0,0,11
Mega XL hatti gadi (Tata),"रू. 7,00,000",,Brown chocolate colour,15.0,889.0,1,80000.0,,,1,0,6
Maruti Suzuki Alto 2004 On Sale (Maruti Suzuki),"रू. 5,80,000",,Black,,800.0,1,75000.0,,,0,0,21
Grand i10 magna 2014 (Hyundai),"रू. 18,45,000",,Silver,,1200.0,1,31000.0,,,0,0,11
Blue colour 2016 model Baleno (Maruti Suzuki),"रू. 20,50,000",private,blue,17.0,1200.0,1,41000.0,chaa.,,1,1,9
WagonR Sell or Rent (Maruti Suzuki),"रू. 10,25,000",,,20.0,,1,43000.0,,,0,0,17
2010 model red color santro zinc for sale (Hyundai),"रू. 13,50,000",personal,red,,1100.0,1,4200.0,,,0,1,15
Mahindra cabking (Mahindra),"रू. 12,50,000",,,,,2,,,,0,0,7
2011 model ko kia sportage sales & exchange offer (Kia),"रू. 32,50,000",,,,,2,,,,0,1,14
"2015 model bolero 7 seater 4wd,powerstering sale (Mahindra)","रू. 19,50,000",,Silver grey,,2500.0,2,65000.0,,,0,1,10
बैंक सुबिधा भएको सस्तो कार सङ्ग पनि सट्टा पट्टा (Mahindra),"रू. 32,00,000",like new,silver,15.0,2100.0,3,61000.0,no,,0,0,6
Hyundai I20 Active Diesel 2015 (Hyundai),"रू. 25,00,000",,Earth Brown,14.0,1400.0,2,42000.0,,,0,0,10
Isuzu Vcross 2019 (Other Brands),"रू. 51,00,000",,white,,2499.0,2,51000.0,,,0,1,6
Mg Zs Ev 2021 On Sale (Other Chinese Brands),"रू. 53,00,000",1 year,Red,300.0,105.0,3,12200.0,7 uears,,1,0,4
Niro (Kia),"रू. 58,00,000",,White,,,3,9000.0,,,1,0,6
Hyundai i10 Magna 1.2 2010 model (Hyundai),"रू. 13,50,000",,Champagne golden,,,1,,,,0,0,15
Like a Brand New Grand i10 sports 0 Push Bottom (Hyundai),"रू. 23,50,000",,passion red,14.0,1197.0,1,7000.0,,,0,0,8
Fore Sale Grand I10 Magna (Hyundai),"रू. 18,50,000",1,Silver,14.0,1200.0,1,45000.0,No,,0,0,11
Kia Rio 2011 Model Best Condition (Kia),"रू. 14,30,000",,Clear white,18.0,1399.0,1,59000.0,,,0,0,14
Hundai Grend I 10 2019 model Sportz (Hyundai),"रू. 26,00,000",3 years,grey,13.0,1200.0,1,18300.0,no,,0,0,6
Hyundai Creta | Model - 2017 | Diesel (Hyundai),"रू. 37,50,000",-,Polar White,21.4,1582.0,2,42000.0,-,,0,0,8
TATA BOLT RT XM (Tata),"रू. 17,80,000",,white,,1193.0,1,,,,0,0,8
Santro 2010 (Hyundai),"रू. 13,60,000",,Silver,15.0,1100.0,1,53000.0,,,0,0,15
urgent sell (Tata),"रू. 9,50,000",,silver,10.0,1400.0,1,,,,1,0,12
Car on sale (Maruti Suzuki),"रू. 26,50,000",Private,Grey,18.0,1200.0,1,29000.0,Yes,,0,0,8
Toyota hilux revo 2018 sell or exchange (Toyota),"रू. 78,50,000",Private,Sleek silver,12.0,2.8,2,42000.0,,,0,1,7
Datsun Go on sale (Datsun),"रू. 12,75,000",5 years,light Blue,16.0,1200.0,1,48000.0,thank you,,0,0,9
Nissan navara le (Nissan),"रू. 24,00,000",private,dark red,10.0,2500.0,2,75000.0,no warranty,,0,1,15
Sentro fresh condition (Hyundai),"रू. 13,00,000",Home,Blue,18.0,1086.0,1,80000.0,Not,,1,0,16
Ford Ecosport for sale (Ford),"रू. 29,50,000",5 years,Space grey,17.0,1500.0,1,26000.0,No warannty,,0,0,8
One Week Offer Price Fiat Avventura Dynamic 2016.. (Fiat),"रू. 15,50,077",,Exo - Red,,1368.0,1,57000.0,,,0,0,9
Hyundai Venue 2021 like Brand new on Sale (Hyundai),"रू. 35,25,000",1 year,White,18.0,1200.0,1,13750.0,Company warranty,,0,0,4
Scorpio S4+ (Mahindra),"रू. 34,50,000",Prasnal,Silbhar,,,2,750840.0,,,1,1,9
FORD IKON FULL OPTION FRESH N SMOOTH (Ford),"रू. 5,50,000",10,grey,15.0,1299.0,1,52000.0,non,,0,0,22
Ford Figo (Trend) (Ford),"रू. 15,00,000",6 years,Off white,14.0,1200.0,1,70000.0,No,,0,0,9
"Fully fresh, excellent condition, tax cleared (Hyundai)","रू. 6,40,000",,,,1086.0,1,,,,0,0,23
Kia sportage AWD 8air bag fully looded for sale (Kia),"रू. 32,50,000",12 years,chocolate gry,13.0,2000.0,2,67000.0,no,,0,1,14
car sell (Nissan),"रू. 5,50,000",,,,,2,,,,1,0,28
