name,price,mileage,engine_cc,kilometer_run,types,age
honda dio 60lot urgent sell,96000,35.0,110.0,47880.0,0.0,11.0
Ns200 urgent on sell,120000,35.0,200.0,38304.0,1.0,9.0
Honda Dio fresh condition scooter on sale,98000,45.0,106.0,65000.0,0.0,9.0
Honda Shine 125 Model 2024,235000,65.0,125.0,9250.0,1.0,1.0
Yamaha Mt 15,360000,45.0,155.0,20000.0,1.0,3.0
black classic 350 on sale or exchange,100,33.5,350.0,40000.0,1.0,7.0
045 lot tvs ntorq race XP Fi sale and EX dio,239000,45.0,125.0,11000.0,0.0,2.0
One hand cbz for sale,45000,40.0,149.0,57000.0,1.0,15.0
pulsar220 - 101 lot,160000,35.0,220.0,28728.0,1.0,7.0
pulsar150 - 035 LoT,180000,45.0,150.0,14364.0,1.0,4.0
R15 V3 Abs Fully Fresh Condition Lot-023 Super,277000,45.0,155.0,24000.0,1.0,5.0
Dorminar 400 Fi And Abs Fully Fresh Lot-023,310000,30.0,400.0,25000.0,1.0,4.0
vespa vxl 88 lot,100000,45.0,150.0,33516.0,0.0,8.0
Urgent sell   fresh condition bike fz250 2018 m...,135000,30.0,249.0,33000.0,1.0,7.0
Tvs Raider bike bikrima,150000,45.0,125.0,35000.0,1.0,4.0
Single Hand Engine Ahile Samma Sil Pack Xa,107000,40.0,110.0,22730.0,0.0,8.0
Ns 200 89 Lot Single Hand,145000,35.0,200.0,33516.0,1.0,8.0
Vespa 125cc 119 Lot Sale Or Exchange,139000,40.0,125.0,29000.0,0.0,5.0
Vespa 150cc Disk Break 117 Lot Sale Or Exchange,139000,35.0,150.0,23000.0,0.0,5.0
Yamaha Ray ZR 125 CC FI Hybrid BS6 on Sale,235000,45.0,125.0,19000.0,0.0,4.0
Honda Aviator 68 Lot Full Fresh Condition ,75000,35.0,109.0,50.0,0.0,10.0
r15m,378000,50.0,155.0,9576.0,1.0,3.0
Yamaha fz v2,228900,45.0,155.0,29.0,1.0,4.0
78 lot apache 200,110000,35.0,200.0,0.0,1.0,9.0
scooter for sale,70000,35.0,125.0,33423.0,0.0,12.0
bajaj pulsar 114 lat 150cc 1st hand 9849686911,157500,45.0,150.0,27560.0,1.0,5.0
Honda CRF 250l 2017 on sale ,1275000,30.0,250.0,28000.0,1.0,8.0
TVS Ntorq 125 ,155000,45.0,125.0,22543.0,0.0,4.0
Dio,95000,40.0,110.0,41500.0,0.0,8.0
Fresh Low Run Yamaha Mt 15,410000,45.0,150.0,13000.0,1.0,2.0
Xtreme 200 R Fresh condition like new,125000,45.0,200.0,17000.0,1.0,6.0
Plusar 150 Cc Fully Fresh Lot-010 Super Fresh,100000,45.0,150.0,27000.0,1.0,9.0
April Sr125 Cc Fully Fresh Lot-019 Super Fresh,138000,45.0,125.0,25000.0,0.0,5.0
ntroq - 041 lot ‼️,175000,45.0,125.0,9576.0,0.0,3.0
Royal Enfield 350cc,555000,30.0,350.0,17500.0,1.0,3.0
Yamaha Mt For Sale At Tinkune Kathamandu,439000,50.0,155.0,10000.0,1.0,1.0
Honda unicorn 160,110000,40.0,160.0,33516.0,1.0,8.0
Ktm Duke 200,380000,35.0,200.0,13.0,1.0,3.0
RayZr Fi yamaha 120 lot top model 9803656430,169000,50.0,125.0,19152.0,0.0,5.0
CB Shine 68Lot,94000,45.0,125.0,43092.0,1.0,10.0
R15 V2,100000,50.0,150.0,77960.0,1.0,14.0
Bullet 2016 model black color ,375000,33.5,350.0,30000.0,1.0,9.0
Urgent Sell,640,35.0,350.0,15000.0,1.0,3.0
Ns 200,149999,30.0,199.0,50000.0,1.0,8.0
Yahama RayZR Fi 125,180000,50.0,125.0,33000.0,0.0,4.0
Yamaha FZs  150 v3 abs  sale or exchange Bike fres,225000,45.0,150.0,19.0,1.0,5.0
DOMINAR400CC - 023 lot fi abs,300000,30.0,400.0,14364.0,1.0,4.0
Apache 160 4v Fully Brand New Lot-032,188000,40.0,160.0,18000.0,1.0,4.0
Plusar 150 Fully Fresh Condition Lot-40,80000,45.0,150.0,35000.0,1.0,11.0
Plusar 150 Fully Fresh Lot-010 Super Fresh,100000,45.0,150.0,27000.0,1.0,8.0
April Sr 125 Cc Fully Fresh Lot-019 Super Fresh,137000,45.0,125.0,25000.0,0.0,5.0
