name,price,mileage,engine_cc,fuel,kilometer_run,types,is_automatic,is_4WD,age
Nissan Sunny 1.6 fully fresh 9803656430,880000.0,15.0,1600.0,1,81396.0,3.0,0,0,18.0
Hyundai i10 2009model with option,1055000.0,16.0,1100.0,1,71820.0,2.0,0,0,16.0
Santro   Hyundai 2013 model  super fresh 2user car,1515000.0,15.0,1100.0,1,77000.0,2.0,1,0,11.0
Santro   Hyundai 2013 model super fresh 2user ,1515000.0,15.0,1100.0,1,77000.0,2.0,1,0,12.0
i10 magna 1200cc,1175000.0,14.0,1200.0,1,62000.0,2.0,0,0,16.0
Santro  Hyundai 2013 model super fresh 2user ,1515000.0,15.0,1100.0,1,77000.0,2.0,0,0,12.0
excellent condition 2008 model swift vxi on sale!,1250000.0,15.0,1200.0,1,77000.0,2.0,0,0,17.0
like a new 2015 model i20Active s on sale !,2450000.0,15.0,1200.0,1,42000.0,2.0,0,0,10.0
Santro  Hyundai 2013 model fresh 2user on sale ,1515000.0,15.0,1100.0,1,77000.0,2.0,0,0,12.0
excellent condition 2016 model i20Active s on sale,2650000.0,15.0,1200.0,1,47000.0,2.0,0,0,9.0
Suzuki swift ,935000.0,14.0,1298.0,1,74500.0,2.0,0,0,20.0
Maruti Suzuki Ciaz 1.5 Smart Hybrid 2019,2575000.0,18.0,1500.0,4,36000.0,3.0,0,0,6.0
Hyundai i10 2009 model on sale (9849027795),1065000.0,15.0,1086.0,1,88000.0,2.0,0,0,16.0
✨ Hyundai Accent For Sale – Immaculate Condition! ,850000.0,18.0,1399.0,1,47000.0,3.0,0,0,18.0
i20 asta,1275000.0,14.0,1200.0,1,58000.0,2.0,0,0,16.0
Omni maruti cargo van sell,380000.0,15.0,800.0,1,100000.0,5.0,0,0,11.0
Brezza Zdi+,2695000.0,14.0,1200.0,2,54000.0,1.0,0,0,8.0
Gypsy,1750000.0,14.0,1298.0,1,9400.0,1.0,0,1,26.0
Santro Sports 2019 Hyundai,2100000.0,15.0,1100.0,1,41000.0,2.0,0,0,6.0
Ford Figo Titanium petrol 2012 model,9800000.0,13.0,1200.0,1,70.0,2.0,0,0,13.0
Hilux 2009,2700000.0,12.0,2494.0,2,90000.0,4.0,1,1,16.0
Single Hand Ford EcoSport Trend 2018,2350000.0,11.0,1500.0,1,43800.0,1.0,0,0,7.0
Seltos Htx 2020 Dsl,4500000.0,16.0,1500.0,2,37.0,1.0,0,0,5.0
Seltos Htx 2020 Dsl,4500000.0,16.0,1500.0,2,37.0,1.0,0,0,5.0
City Sprite Jiyung Ev,900000.0,18.0,120.0,3,15000.0,2.0,1,0,5.0
Maruti Suzuki A Star 2012,1350000.0,15.0,998.0,1,45.0,2.0,0,0,13.0
Hyundai santro 2007 sell and exchange,950000.0,14.0,1100.0,1,79000.0,2.0,0,0,18.0
Nissan super salon auto 2007 sell and exchange,2550000.0,14.0,1200.0,1,66000.0,3.0,0,0,18.0
Volkswagen polo 1.6 2018 sell and exchange,1800000.0,14.0,1600.0,1,42000.0,2.0,0,0,7.0
deepal E07 ev sunroof single hand 2025 sell/exchan,8500000.0,18.0,190.0,3,7000.0,1.0,1,0,0.0
Ford Figo tren 2017 sell and exchange,1400000.0,14.0,1200.0,1,32000.0,2.0,0,0,8.0
Hilux 2021 ..,87.0,12.0,2800.0,2,14364.0,4.0,0,1,4.0
Hyundai eon era+  2012 sell and exchange,900000.0,14.0,800.0,1,79000.0,2.0,0,0,13.0
Creta SX diesel 2016,3050000.0,17.0,1200.0,2,60000.0,1.0,0,0,9.0
Well condition ford figo titanium 2017 on sale ,1750000.0,15.0,1200.0,1,56000.0,2.0,0,0,8.0
Single user ford freestyle Trand 2019 on sale ,2050000.0,15.0,1200.0,1,44000.0,2.0,0,0,6.0
sale,1335000.0,13.0,1200.0,1,58653.0,2.0,0,0,15.0
Brezza Vdi+ 2018 Fresh Condition,2750000.0,18.0,1248.0,2,49000.0,1.0,0,0,7.0
eeco van services for rent 5000 perday,5000.0,15.0,1200.0,1,23940.0,5.0,0,0,6.0
SHOWROOM CONDITION HYUNDAI CRETA SX FACELIFT 2018 ,4075000.0,15.0,1600.0,1,58000.0,1.0,0,0,7.0
Hyundai Verna 2015 Single Handed,2150000.0,14.0,1500.0,1,63000.0,3.0,0,0,10.0
2016 Skoda Rapid On Sale,1350000.0,18.0,1500.0,2,75000.0,3.0,0,0,9.0
Grand i10 Magna,1700000.0,16.0,1197.0,1,65000.0,2.0,0,0,12.0
Sonet GT Line 2020,4075000.0,17.0,1400.0,2,63000.0,1.0,0,0,5.0
BORGWARD BX5 2020,6000000.0,10.0,2000.0,1,19152.0,1.0,1,1,5.0
Skoda fabia 1.6  2013 model good Rs 950000.,950000.0,12.0,1598.0,1,40000.0,1.0,1,1,12.0
Maruti 800,315000.0,15.0,800.0,1,121227.75,2.0,0,0,28.0
ECO VAN 7SEATER ,1724000.0,15.0,1200.0,1,52000.0,5.0,0,0,7.0
Breeza,2500000.0,18.0,1462.0,2,53000.0,1.0,0,0,9.0
Daihatsu Sirion 2005,590000.0,15.0,998.0,1,90972.0,2.0,0,0,20.0
Hyundai I20 Active S 2016,2550000.0,15.0,1197.0,1,53245.0,1.0,0,0,9.0
Hyundai I10 Magna 2010,1425000.0,15.0,1197.0,1,67032.0,2.0,0,0,15.0
Eco seater van urgent sell ✅✅,1450000.0,15.0,1200.0,1,180000.0,5.0,0,0,7.0
CELERIO X ZXI 2018 📞📞9823379636,2050000.0,15.0,1000.0,1,54000.0,2.0,0,0,7.0
Well condition Chevrolet Beat 2010 on sale ,900000.0,15.0,1200.0,1,45000.0,2.0,0,0,15.0
Magnite 2021 model superfresh 5 wota Tyre new 3079,270000.0,15.0,1000.0,1,3079.0,1.0,0,0,4.0
Well condition Hyundai I 10 sports 2008 on sale ,1275000.0,15.0,1200.0,1,53000.0,2.0,0,0,17.0
Hyundai verna 2013 model,1700000.0,14.0,1500.0,1,86300.0,3.0,0,0,12.0
Kia seltos ivt auto sunroof petrol 2021 model,5200000.0,14.0,1500.0,1,53600.0,1.0,1,0,4.0
Hyundai Santro 2003 Full Option On Sale,625000.0,15.0,1000.0,1,85000.0,2.0,0,0,22.0
Maruti Suzuki Swift Vxi 2009 On Sale,1350000.0,15.0,1200.0,1,65000.0,2.0,0,0,16.0
Ford KUGA SUV 2600cc Fully Fresh Model-2012,2800000.0,14.0,6000.0,1,95000.0,1.0,0,1,13.0
Ford Figo Aspire Titanium 2021 Single Hand,1990000.0,15.0,1194.0,1,39000.0,3.0,0,0,4.0
Ecosports titanium 2018,2500000.0,14.0,1500.0,1,52000.0,1.0,0,0,7.0
Skoda Rapid Elegance 1.6 Single Hand Top Varient,1475000.0,14.0,1600.0,1,47880.0,3.0,0,0,11.0
Brezza 2021 ZXI PLUS(Top Model),3799999.0,18.0,1499.0,1,37000.0,1.0,0,0,4.0
2008 model tuction ,1600000.0,10.0,2000.0,2,90.0,1.0,0,1,17.0
Grand i10 sportz 2019,2400000.0,16.0,1200.0,1,41000.0,2.0,1,0,6.0
wagon r 2017 model,1675000.0,18.0,1000.0,1,51000.0,2.0,0,0,8.0
🔥 FOR SALE – TOYOTA HILUX REVO 2016 (4WD) On SALE,5900000.0,12.0,2755.0,1,92000.0,4.0,0,1,9.0
Fiat Linea 2011,850000.0,12.0,1400.0,1,70.0,3.0,0,0,14.0
Maruti Suzuki Wagon R Vxi 2009 40000 Km On Sale,1050000.0,15.0,1000.0,1,40000.0,2.0,0,0,16.0
Alto Lxi 2018 Model On Sale 9851043436,1450000.0,15.0,800.0,1,51000.0,2.0,0,0,7.0
2010 i20 ASTA HYUNDAI 82500 KM,1350000.0,15.0,1200.0,1,82500.0,2.0,0,0,15.0
Tata Ngr Car On Sale,2600000.0,16.0,1158.0,1,8000.0,2.0,0,0,4.0
Fresh i20 active 2015 1400cc Diesel 6 gear on sale,2250000.0,16.0,1400.0,2,48.0,2.0,0,0,10.0
Terios Sx 4WD 2014 On Sale 9851043436,3450000.0,14.0,1496.0,1,71757.0,1.0,0,1,11.0
Hyundai Creta 1.6 Gasoline E 2018 Model,3400000.0,14.0,1600.0,1,28728.0,1.0,0,0,7.0
Suzuki Scross 2016 Model Required चाहियो ,1600000.0,18.0,1248.0,2,38304.0,1.0,1,0,9.0
Hyundai Creta on Sale,2700000.0,14.0,1500.0,1,64576.0,1.0,0,1,9.0
Toyota Yaris sedan 2008 sell and exchange,1175000.0,14.0,1300.0,1,57000.0,3.0,0,0,17.0
Honda City 1.5 VMT,1850000.0,16.0,1596.0,1,51000.0,3.0,0,0,11.0
sujuki ignish 2017 single hand  sell & exchange,1899000.0,15.0,1200.0,1,55000.0,2.0,0,0,8.0
Kia picanto 2010 sell and exchange,900000.0,14.0,1100.0,1,62000.0,2.0,0,0,15.0
hyundai santro 2007 full option sell & exchange,950000.0,14.0,1100.0,1,79000.0,2.0,0,0,18.0
Kia soul ev sunroof 2018 single hand sell nd excha,1850000.0,18.0,81.0,3,60000.0,1.0,0,0,7.0
tata nano 2012 sell and exchange,350000.0,16.0,600.0,1,79000.0,2.0,0,0,13.0
Deepal E07 ev 2025 low run 7000 km sell & exchange,8500000.0,18.0,190.0,3,7000.0,1.0,1,0,0.0
Hyundai i20 activeS 2016 sell and exchange,2550000.0,14.0,1200.0,1,66000.0,1.0,0,0,9.0
Maruti Suzuki Swift Dzire zxi fully loaded car,1675000.0,14.0,1300.0,1,70000.0,3.0,0,0,12.0
