Name,Price,Used For,Warranty,Transmission,Colour,Make Year,Features,Mileage,Engine (CC),Fuel,Kilometer Run,Types
honda dio 60lot urgent sell,96000,,,Manual,,2014,,35,110,Petrol,,Scooty
Ns200 urgent on sell,120000,,,Manual,,2016,,35,200,Petrol,,Sport
Honda Dio fresh condition scooter on sale,98000,,,Automatic,,2016,,45,106,Petrol,65000,Scooty
Honda aviator 041lot,195000,,,Manual,,2023,,,,Petrol,,Scooty
Facino 95lot,85000,,,Manual,,2018,,,,Petrol,,Scooty
Honda Shine 125 Model 2024,235000,personal Use,,Manual,Black,2024,Like New,65 kmpl,125,Petrol,9250,Standard
Yamaha Mt 15,360000,,,Manual,Black,2022,,,155,Petrol,20000,Standard
black classic 350 on sale or exchange,100,,,Manual,black,2018,,,350,Petrol,40000,Standard
045 lot tvs ntorq race XP Fi sale and EX dio,239000,,,Automatic,red black,2023,Fi engine,,125,Petrol,11000,Scooty
One hand cbz for sale,45000,,,Automatic,Gray and red,2010,Good,40,149,Petrol,57000,Standard
pulsar220 - 101 lot,160000,,,Manual,,2018,,,220,Petrol,,Standard
ntroq - 036 lot,150000,,,Manual,,2021,,,,Petrol,,Scooty
Aviator Fully Fresh Lot-94 Super Fresh,128000,,,Manual,,2018,,,,Petrol,25000,Scooty
pulsar150 - 035 LoT,180000,,,Manual,,2021,,,150,Petrol,,Others
unicorn 41 lot,60000,,,Manual,,2009,,,,Petrol,,Others
R15 V3 Abs Fully Fresh Condition Lot-023 Super,277000,,,Manual,,2020,,,155,Petrol,24000,Sport
Dorminar 400 Fi And Abs Fully Fresh Lot-023,310000,,,Manual,,2021,,,400,Petrol,25000,Sport
Rayzr Fully Fresh Condition Lot-013 Super Fresh,120000,,,Manual,,2019,,,,Petrol,27000,Scooty
vespa vxl 88 lot,100000,,,Manual,,2017,,,150,Petrol,,Scooty
aviator - 027 lot,160000,,,Manual,,2021,,,,Petrol,,Scooty
ntorq 036lot,160000,,,Automatic,,2021,,,,Petrol,,Standard
honda unicorn 39lot,55000,,,Automatic,,2010,,,,Petrol,,Standard
ntorq race 020 lot,158000,,,Manual,,2020,,,,Petrol,,Scooty
Scoter On Sale,200000,,,Automatic,Yellow ,2080,,,,Petrol,,Scooty
Urgent sell   fresh condition bike fz250 2018 m...,135000,,,Manual,black,2018,standard,30,249,Petrol,33000,Standard
Tvs Raider bike bikrima,150000,,,Manual,Black,2021,,45,125,Petrol,35000,Others
Single Hand Engine Ahile Samma Sil Pack Xa,107000,,,Manual,Marun ,2017,,40,110,Petrol,22730,Scooty
Yamaha Lebro Tax cler pass hunxa vintag 9803656430,38000,,,Automatic,,2005,,48+,,Petrol,,Standard
Ktm Duke 200 bs4 89 lot super fresh 9803656430,248000,,,Automatic,,2017 last,,35++,,Petrol,,Sport
Ns 200 Abs Fully fresh 121 lot 9803656430,190000,,,Automatic,,2020 last,,,,Petrol,,Sport
Ns 200 89 Lot Single Hand,145000,,,Manual,,2017,,,200,Petrol,,Standard
Vespa 125cc 119 Lot Sale Or Exchange,139000,3 yeras ,,Manual,Red,2020,Self ,40,125,Petrol,29000,Scooty
Vespa 150cc Disk Break 117 Lot Sale Or Exchange,139000,2 years,,Manual,White,2020,Diskbreak,35,150,Petrol,23000,Scooty
Yamaha Ray ZR 125 CC FI Hybrid BS6 on Sale,235000,,,Automatic,Navi Blue,2021,,,125,Petrol,19000,Scooty
Honda Aviator 68 Lot Full Fresh Condition ,75000,,,Manual,Black,2015,,35,109,Petrol,50k,Scooty
r15m,378000,,,Manual,,2022,,50,155,Petrol,,Sport
Yamaha fz v2,228900,,,Manual,Blue black ,2021,,,155,Petrol,29k,Standard
150 pulsar fresh condition,45000,personal,,Manual,Red and Black,2008,All good,35,,Petrol,,Standard
Ray ZR 125,205000,,,Automatic,,2022,,,,Petrol,,Scooty
Pulsar 150 TD,125000,,,Manual,,2018,,,,Petrol,,Standard
honda aviator 007lot,140000,,,Automatic,,2019,,,,Petrol,,Standard
ntorq 041lot,185000,,,Automatic,,2023,,,,Petrol,,Standard
hero maestro 98lot,75000,,,Automatic,,2018,,,,Petrol,,Standard
ns 125 045lot,170000,,,Automatic,,2024,,,,Petrol,,Standard
rtr 002lot,125000,,,Automatic,,2018,,,,Petrol,,Standard
ns 200,400000,,,Automatic,,2025,,,,Petrol,,Standard
78 lot apache 200,110000,9 years,no,Automatic,black,2016,fresh condition,35,200,Petrol,0,Standard
xpulse 026lot,230000,,,Automatic,,2021,,,,Petrol,,Standard
pulsar 220 055lot,375000,,,Automatic,,2025,,,,Petrol,,Standard
dio fi 046lot,250000,,,Automatic,,2024,,,,Petrol,,Standard
220 pulsar 024 lot,220000,,,Manual,,2021,,,,Petrol,,Standard
aviator 027 lot,155000,,,Manual,,2021,,,,Petrol,,Scooty
fascino 88lot,90000,,,Manual,,2017,,,,Petrol,,Scooty
rayzr 013 lot,115000,,,Manual,,2019,,,,Petrol,,Scooty
ismart 009 lot,90000,,,Manual,,2019,,,,Petrol,,Standard
pleasure 009 lot,85000,,,Manual,,2019,,,,Petrol,,Scooty
Ray Zr 120 Lot (Single Hand),178000,,,Automatic,,2020,,,,Petrol,,Scooty
pulser 150 50lot,75000,,,Manual,,2013,,,,Petrol,,Standard
Grazia 119 Lot (Disk Break),168000,,,Automatic,,2020,,,,Petrol,,Scooty
dominor 409 025 lot,295000,,,Manual,,2021,,,,Petrol,,Sport
scooter for sale,70000,work to office,,Automatic,red,2013,,35,125,Petrol,33423,Scooty
bajaj pulsar 114 lat 150cc 1st hand 9849686911,157500,4 year,,Manual,black,2020,self start,45,150,Petrol,27560,Standard
Honda CRF 250l 2017 on sale ,1275000,,,Manual,,2017,,,250,Petrol,28000 kms ,Dirt
TVS Ntorq 125 ,155000,Personal,NO,Automatic,blue,2021,smart connect,,125,Petrol,22543,Scooty
Dio fi 046 lot,240000,,,Manual,,2023,,,,Petrol,,Scooty
Dominor 400 023 lot,310000,,,Manual,,2021,,,,Petrol,,Sport
Dio,95000,,,Automatic,Green and white,2017,,,110,Petrol,41500,Scooty
Fresh Low Run Yamaha Mt 15,410000,,,Manual,Black,2023,,,150,Petrol,13000,Sport
Xtreme 200 R Fresh condition like new,125000,Office,,Manual,Red,2019,,45,200,Petrol,17000,Sport
r15 V3 023 lot,280000,,,Manual,,2021,,,,Petrol,,Sport
Plusar 150 Cc Fully Fresh Lot-010 Super Fresh,100000,,,Manual,,2016,,,150,Petrol,27000,Sport
pulsar220 - 055 lot abs 2025 model ‼️,350000,,,Manual,,2025,,,220,Petrol,,Standard
XPULSE - 026 lot v2,220000,,,Manual,,2021,,,,Petrol,,Others
Honda Dio Fi System Fully Brand New Lot-046,250000,,,Manual,,2024,,,,Petrol,120000,Scooty
ns200cc - 059 lot fi abs 2025 model BS6,390000,,,Manual,,2025,,,200,Petrol,,Sport
Apache Rtr 180 - 002 lot,110000,,,Manual,,2018,,,,Petrol,,Others
April Sr125 Cc Fully Fresh Lot-019 Super Fresh,138000,,,Manual,,2020,,,125,Petrol,25000,Scooty
ismart - 009 lot,80000,,,Manual,,2019,,,,Petrol,,Others
ntroq - 041 lot ‼️,175000,,,Manual,,2022,,,125,Petrol,,Scooty
Plusar 220f Abs Fully Brand New Lot-055 Single Han,377000,,,Manual,,2025,,,220,Petrol,9000,Sport
Honda Dio,190000,,,Automatic,,2022,,,,Petrol,12300,Scooty
honda XR,445000,,,Manual,,2019,,,,Petrol,,Sport
Royal Enfield 350cc,555000,,,Automatic,,2022,,30,350,Petrol,17500,Standard
Mv agusta brutalle 675,3499999,,,Manual,White,2016,,,,Petrol,2000,Sport
Electric scooter sale or exchange  Aone condition ,65000,,,Automatic,Red,2019,,,125,Electric,25,Scooty
Ns200 059 Lot 2025 Model Finance Exchange,395000,,,Manual,,2025,,,,Petrol,,Sport
Yamaha Mt For Sale At Tinkune Kathamandu,439000,,,Manual,White,2024,,50,155,Petrol,10000,Others
CB SHINE,72000,,,Manual,,2010,,,,Petrol,,Standard
Honda unicorn 160,110000,,,Manual,Blue,2017,Fresh condition bike New tyre Also has digital meter And disk break plus all brand new equipment added in the bike for better performance,40,160,Petrol,,Standard
Ktm Duke 200,380000,,,Automatic,orange ,2022,,,200,Petrol,13 650,Standard
One hand Use Honda Dio lot 60 fresh 9803656430,90000,,,Automatic,,2015,,,,Petrol,,Scooty
Ns 200 Fully fresh 73 lot 9803656430,120000,,,Automatic,,2016,,35+,,Petrol,,Sport
Honda Grazia Fully fresh 119 lot 9803656430,160000,,,Automatic,,2020 last,,45,,Petrol,,Scooty
RayZr Fi yamaha 120 lot top model 9803656430,169000,,,Automatic,,2020 last,,50,125,Petrol,,Scooty
