Name,Price,Used For,Warranty,Transmission,Colour,Make Year,Features,Mileage,Engine (CC),Fuel,Kilometer Run,Types
Nissan Sunny 1.6 fully fresh 9803656430,880000,,,Manual2WD,,2007,,15,1600,Petrol,,Sedan
Hyundai i10 2009model with option,1055000,,,Manual - 2WD,Dark Blue,2009,"Fresh car with great engine and on sale plus can even bring mechanic to inspect the car
Original color 
With option
A/C for hot and cold 
Power stearing 
Power window 
D fogger 
Back camera 
Luxirious new seat 
4ta New tyres 
10 inch android touch screen 
Car is also comfortable and luxurious to drive",16,1100,Petrol,,Mid Size Hatchback
Santro   Hyundai 2013 model  super fresh 2user car,1515000,Personal ,,Auto2WD,Marun ,2014,Basic full option ,15-18 ,1100 CC,Petrol,77000,MidSizeHatchback
Santro   Hyundai 2013 model super fresh 2user ,1515000,Personal ,,Auto2WD,Marun ,2013,Basic full option ,15-18,1100 CC ,Petrol,77000 ,MidSizeHatchback
i10 magna 1200cc,1175000,,,Manual - 2WD,blue,2009,power steering power windows ac heater,14,1200,Petrol,62000,Small Hatchback
Santro  Hyundai 2013 model super fresh 2user ,1515000,Personal ,,Manual2WD,Marun ,2013,Basic full option ,15-18 ,1100 CC ,Petrol,77000 ,MidSizeHatchback
excellent condition 2008 model swift vxi on sale!,1250000,,,Manual - 2WD,gray,2008,full option,,1200,Petrol,77000,Mid Size Hatchback
like a new 2015 model i20Active s on sale !,2450000,,,Manual - 2WD,brown,2015,full option,,1200,Petrol,42000,Mid Size Hatchback
Santro  Hyundai 2013 model fresh 2user on sale ,1515000,Personal ,,Manual2WD,Marun ,2013,Basic full option ,15-18 ,1100 CC ,Petrol,77000 ,MidSizeHatchback
excellent condition 2016 model i20Active s on sale,2650000,,,Manual - 2WD,white,2016,full option,,1200,Petrol,47000,Mid Size Hatchback
Suzuki swift ,935000,,,Manual2WD,Silver,2005,,,1298,Petrol,74500,MidSizeHatchback
Maruti Suzuki Ciaz 1.5 Smart Hybrid 2019,2575000,,,Manual2WD,Elegant Blue ,2019,,,1500,Hybrid,36000,Sedan
Hyundai i10 2009 model on sale (9849027795),1065000,,,Manual - 2WD,red,2009,,,1086,Petrol,88000,Small Hatchback
ford Kuga SUV 2012 model finance exchange,2700000,,,Manual - 2WD,,2012,,,,Petrol,,Small Hatchback
Renault Kwid,1790000,Personal,,Manual - 2WD,Biz,2021,,17,,Petrol,12800,Mid Size Hatchback
✨ Hyundai Accent For Sale – Immaculate Condition! ,850000,Family car,None,Manual2WD,Silver,2007,Mid range,47000,1399,Petrol,47000,Sedan
i20 asta,1275000,,,Manual - 2WD,silver,2009,power steering power windows abs airbgs,14,1200,Petrol,58000,Mid Size Hatchback
Omni maruti cargo van sell,380000,1.5Years,,Manual2WD,White,2014,,,800,Petrol,100000,Van
Kia Picanto 2004,650000,,,Manual - 2WD,,2004,,,,Petrol,,Mid Size Hatchback
Car rent for marriage,7499,,,Auto - 4WD,,2014,,,,Petrol,,SUV / Jeep
Brezza Zdi+,2695000,,,Manual - 2WD,grey,2017,,14,1200,Diesel,54000,SUV / Jeep
Gypsy,1750000,personal,,Manual - 4WD,blue white,1999,,,1298,Petrol,9400,SUV / Jeep
Santro Sports 2019 Hyundai,2100000,,,Manual - 2WD,Marun,2019,Airbags power steering power windows ,15,1100,Petrol,41000,Mid Size Hatchback
Ford Figo Titanium petrol 2012 model,9800000,,,Manual2WD,Gray,2012,Air bag ac heater ,13,1200,Petrol,70k,MidSizeHatchback
Hilux 2009,2700000,,,Auto - 4WD,Metalic Gray,2009,,,2494,Diesel,90000,Pickup
Single Hand Ford EcoSport Trend 2018,2350000,7 Years,Not Available,Manual - 2WD,Grey,2018,Auto AC  Dual Airbags  ABS  Rear Parking Sensor  Rear Defogger  Rear Wiper  Reverse Parking Camera  Leather Wrapped Steering Wheel  Steering Mounted Audio Controls  Power Steering  Power Windows  Music Player,11,1500,Petrol,43800,Compact SUV
Seltos Htx 2020 Dsl,4500000,,,Manual - 2WD,White,2020,Top ,16,1500,Diesel,37,Compact SUV
Seltos Htx 2020 Dsl,4500000,,,Manual - 2WD,White,2020,Top ,16,1500,Diesel,37,Compact SUV
City Sprite Jiyung Ev,900000,,,Auto - 2WD,Red,2020,Loded,120,120,Electric,15000,Mid Size Hatchback
Maruti Suzuki A Star 2012,1350000,,,Manual - 2WD,Silver,2012,,15,998,Petrol,45,Mid Size Hatchback
Toyota Hiace 2018 model,3400000,,,Manual2WD,,2018,,,,Diesel,,Bus
Subaru Japanese 4wd Fully Fresh Model-2007,1600000,,,Manual - 4WD,,2007,,,,Petrol,80000,SUV / Jeep
Hyundai santro 2007 sell and exchange,950000,,,Manual - 2WD,golden silver,2007,full option,14,1100,Petrol,79000,Small Hatchback
Nissan super salon auto 2007 sell and exchange,2550000,,,Manual - 2WD,golden silver,2007,full option,14,1200,Petrol,66000,Sedan
Volkswagen polo 1.6 2018 sell and exchange,1800000,,,Manual - 2WD,silver,2018,full option,14,1600,Petrol,42000,Small Hatchback
deepal E07 ev sunroof single hand 2025 sell/exchan,8500000,,,Auto - 2WD,black,2025,full option,650,190,Electric,7000,SUV / Jeep
Ford Figo tren 2017 sell and exchange,1400000,,,Manual - 2WD,white,2017,full option,14,1200,Petrol,32000,Small Hatchback
Hilux 2021 ..,87,,,Manual - 4WD,white,2021,,,2800,Diesel,,Pickup
Hyundai eon era+  2012 sell and exchange,900000,,,Manual - 2WD,blue,2012,full option,14,800,Petrol,79000,Small Hatchback
Honda City Fully Fresh Condition Model-2007,895000,,,Manual - 2WD,,2007,,,,Petrol,80000,Sedan
TOYOTA COROLLA LX ,2125000,,,Manual4WD,BLACK,2008 ,,,Japanese ,Petrol,80000,Sedan
BYD ATTO 3 100 kW (Superior  60.48Kwh)  2024 Model,5800000,,,Auto - 2WD,White,2024,"Performance and battery

Battery: 60.48 kWh BYD Blade Battery

Range: 420 km (WLTP)

Motor Power: 150 kW (204 hp)

Torque: 310 Nm

Acceleration: 0-100 km/h in 7.3 seconds

Top Speed: 160 km/h

Fast Charging: Can charge from 0% to 80% in approximately 45-50 minutes with an 80 kW DC fast charger 

Interior and technology

Infotainment: 15.6-inch rotating touchscreen

Sound System: 8-speaker audio system

Convenience: Wireless phone charger  powered tailgate  and a panoramic sunroof

Connectivity: Voice assistant and Spotify app are built-in  plus four USB ports

Comfort: 6-way power-adjustable driver's and passenger seats  ambient lighting (including 31-colour options)  and an air purifier

Design: Features a unique design with elements like ""guitar-string"" door panels 

Safety and assistance

Airbags: Up to seven airbags  including a driver's center airbag

Cameras: 360-degree camera system

ADAS: Advanced Driver Assistance Systems (ADAS) include adaptive cruise control with Stop & Go  blind spot monitoring  lane-keep assist  adaptive emergency braking  and front/rear collision warning

Braking and traction: ABS  ESC  and traction control are standard",,,Electric,2500,Compact SUV
Creta SX diesel 2016,3050000,,,Manual2WD,Red ,2016,,17,1200,Diesel,60000,CompactSUV
Well condition ford figo titanium 2017 on sale ,1750000,,,Manual2WD,Gray ,2017,Full option ,,1200,Petrol,56000,MidSizeHatchback
Single user ford freestyle Trand 2019 on sale ,2050000,,,Manual2WD,Brown ,2019,Full option ,,1200,Petrol,44000,MidSizeHatchback
sale,1335000,persanal,no,Manual2WD,silver ,2010,ac  power stering  power window  lcd back camera adjust looking class,13,1200,Petrol,58653,MidSizeHatchback
Brezza Vdi+ 2018 Fresh Condition,2750000,7 years ,Buy back ,Manual - 2WD,White ,2018,Full option ,19,1248,Diesel,49000,SUV / Jeep
Hyundai Santoro 2006 Model,950000,,,Auto - 2WD,,2006,,,,Petrol,,Small Hatchback
eeco van services for rent 5000 perday,5000,,,Manual - 2WD,grey white,2019,,,1200,Petrol,,Van
SHOWROOM CONDITION HYUNDAI CRETA SX FACELIFT 2018 ,4075000,5,No,Manual2WD,White ,2018,Push star Allo wheels power steering power windows orvm steering mount control etc ,15/17,1600,Petrol,58000,SUVJeep
Tata Nexon Ev Max 2023 Model Hospital Used,3150000,Hospital staff ,Warranty available from  company ,Auto - 2WD,White ,2023,Push start alloy sunroof and wireless charger cooler seat and many more ,350,,Electric,54000,Compact SUV
Hyundai Verna 2015 Single Handed,2150000,Personal ,As per company policy ,Manual - 2WD,White ,2015,Key less entry push start bottom allow wheels back sensor & camera many more ,14,1500,Petrol,63000,Sedan
2016 Skoda Rapid On Sale,1350000,Personal,,Manual - 2WD,White,2016,Many More,18,1500,Diesel,75000,Sedan
Grand i10 Magna,1700000,single handed,No,Manual - 2WD,silver,2013,full option,16,1197,Petrol,65000,Small Hatchback
Alto,300000,,,Manual2WD,,2001,,,,Petrol,,SmallHatchback
Sonet GT Line 2020,4075000,5,,Manual2WD,White,2020,sport-styled exterior  wireless charging  a large infotainment system  ventilated front seats  a special GT Line interior and Sunroof etc ,17,1400,Diesel,63000,SUVJeep
BORGWARD BX5 2020,6000000,Personal,No,Auto - 4WD,Black,2020,6 airbags  CRUISE CONTROL SUNROOF MOONROOF 360 camera,10,2000,Petrol,,Compact SUV
Skoda fabia 1.6  2013 model good Rs 950000.,950000,10 years,None,Auto4WD,Grey,2013,Excellent condition,12km,1598,Petrol,40000,CompactSUV
Maruti 800,315000,,,Manual - 2WD,,1997,,,800,Petrol,,Small Hatchback
ECO VAN 7SEATER ,1724000,,,Manual2WD,Sliver,2018,,,1200,Petrol,52000,Van
Breeza,2500000,,,Manual - 2WD,red and black,2016,,,1462,Diesel,53000,SUV / Jeep
Daihatsu Sirion 2005,590000,,,Manual - 2WD,White,2005,,,998,Petrol,,Small Hatchback
Hyundai I20 Active S 2016,2550000,,,Manual - 2WD,White,2016,,,1197,Petrol,53245,Compact SUV
