name,price,mileage,engine_cc,fuel,kilometer_run,is_automatic,is_4WD,age
Hyundai | i20 Active S | TDi | 2015 | Hatchback (Hyundai),2475000.0,14.0,1400.0,1,42000.0,0,0,10
Excellent car on sale (Hyundai),750000.0,11.0,1399.0,1,87412.0,1,0,20
TATA 407 Container (Tata),700000.0,12.0,2956.0,2,60000.0,0,0,12
4x4 swaraj Mazda (Mahindra),600000.0,14.0,1200.0,2,33516.0,0,1,8
i20 Active good for used few time (Hyundai),375.0,17.0,1200.0,1,2400.0,1,0,6
Tata Sumo Gold 2014 GX (Tata),1400000.0,12.0,2956.0,2,47880.0,0,0,11
Mega XL hatti gadi (Tata),700000.0,15.0,889.0,1,80000.0,1,0,6
Maruti Suzuki Alto 2004 On Sale (Maruti Suzuki),580000.0,15.0,800.0,1,75000.0,0,0,21
Grand i10 magna 2014 (Hyundai),1845000.0,15.0,1200.0,1,31000.0,0,0,11
Blue colour 2016 model Baleno (Maruti Suzuki),2050000.0,17.0,1200.0,1,41000.0,1,1,9
WagonR Sell or Rent (Maruti Suzuki),1025000.0,14.0,1200.0,1,43000.0,0,0,17
2010 model red color santro zinc for sale (Hyundai),1350000.0,15.0,1100.0,1,4200.0,0,1,15
Mahindra cabking (Mahindra),1250000.0,14.0,1200.0,2,28728.0,0,0,7
2011 model ko kia sportage sales & exchange offer (Kia),3250000.0,14.0,1200.0,2,62244.0,0,1,14
"2015 model bolero 7 seater 4wd,powerstering sale (Mahindra)",1950000.0,12.0,2500.0,2,65000.0,0,1,10
बैंक सुबिधा भएको सस्तो कार सङ्ग पनि सट्टा पट्टा (Mahindra),3200000.0,15.0,2100.0,3,61000.0,0,0,6
Hyundai I20 Active Diesel 2015 (Hyundai),2500000.0,14.0,1400.0,2,42000.0,0,0,10
Isuzu Vcross 2019 (Other Brands),5100000.0,12.0,2499.0,2,51000.0,0,1,6
Mg Zs Ev 2021 On Sale (Other Chinese Brands),5300000.0,19.5,105.0,3,12200.0,1,0,4
Niro (Kia),5800000.0,14.0,1200.0,3,9000.0,1,0,6
Hyundai i10 Magna 1.2 2010 model (Hyundai),1350000.0,14.0,1200.0,1,67032.0,0,0,15
Like a Brand New Grand i10 sports 0 Push Bottom (Hyundai),2350000.0,14.0,1197.0,1,7000.0,0,0,8
Fore Sale Grand I10 Magna (Hyundai),1850000.0,14.0,1200.0,1,45000.0,0,0,11
Kia Rio 2011 Model Best Condition (Kia),1430000.0,18.0,1399.0,1,59000.0,0,0,14
Hundai Grend I 10 2019 model Sportz (Hyundai),2600000.0,13.0,1200.0,1,18300.0,0,0,6
Hyundai Creta | Model - 2017 | Diesel (Hyundai),3750000.0,19.5,1582.0,2,42000.0,0,0,8
TATA BOLT RT XM (Tata),1780000.0,15.0,1193.0,1,33516.0,0,0,8
Santro 2010 (Hyundai),1360000.0,15.0,1100.0,1,53000.0,0,0,15
urgent sell (Tata),950000.0,10.0,1400.0,1,52668.0,1,0,12
Car on sale (Maruti Suzuki),2650000.0,18.0,1200.0,1,29000.0,0,0,8
Toyota hilux revo 2018 sell or exchange (Toyota),7850000.0,12.0,2.8,2,42000.0,0,1,7
Datsun Go on sale (Datsun),1275000.0,16.0,1200.0,1,48000.0,0,0,9
Nissan navara le (Nissan),2400000.0,10.0,2500.0,2,75000.0,0,1,15
Sentro fresh condition (Hyundai),1300000.0,18.0,1086.0,1,80000.0,1,0,16
Ford Ecosport for sale (Ford),2950000.0,17.0,1500.0,1,26000.0,0,0,8
One Week Offer Price Fiat Avventura Dynamic 2016.. (Fiat),1550077.0,14.0,1368.0,1,57000.0,0,0,9
Hyundai Venue 2021 like Brand new on Sale (Hyundai),3525000.0,18.0,1200.0,1,13750.0,0,0,4
Scorpio S4+ (Mahindra),3450000.0,14.0,1200.0,2,180000.0,1,1,9
FORD IKON FULL OPTION FRESH N SMOOTH (Ford),550000.0,15.0,1299.0,1,52000.0,0,0,22
Ford Figo (Trend) (Ford),1500000.0,14.0,1200.0,1,70000.0,0,0,9
"Fully fresh, excellent condition, tax cleared (Hyundai)",640000.0,15.0,1086.0,1,105336.0,0,0,23
Kia sportage AWD 8air bag fully looded for sale (Kia),3250000.0,13.0,2000.0,2,67000.0,0,1,14
car sell (Nissan),550000.0,14.0,1200.0,2,117000.0,1,0,28
2023 Nissan Magnite XE (Nissan),3399000.0,15.0,999.0,1,4788.0,0,0,2
Spark (Chevrolet),575000.0,14.0,1200.0,1,81396.0,0,0,18
i20 activeS2016 just like brand new exchange offer (Hyundai),2850000.0,14.0,1200.0,1,38000.0,0,0,8
wagonar bikrima (Maruti Suzuki),1050000.0,15.0,1086.0,1,75000.0,0,0,15
santro bikrima (Hyundai),1050000.0,14.0,1086.0,1,71000.0,0,0,18
ZEN 2006 (Maruti Suzuki),749000.0,16.0,1000.0,1,74000.0,0,1,19
Creta SX 2019 Like new (Hyundai),4300000.0,14.0,1600.0,1,24000.0,0,0,6
Wagon R 2009 (Maruti Suzuki),895000.0,14.0,1200.0,1,71820.0,0,0,16
2010 i 10 MAGNA (Hyundai),1400000.0,15.0,1200.0,1,39888.0,0,0,15
Hyundai Accent 2006 Narayani Number (Hyundai),550000.0,17.0,1400.0,1,86184.0,0,0,19
Honda Jazz 2016 model (Honda),2350000.0,15.0,1200.0,1,34200.0,0,0,9
maruti suzuki ZEN LX (Maruti Suzuki),475000.0,18.0,1000.0,1,70000.0,1,0,23
Truck for sale (Tata),1825000.0,14.0,1200.0,2,33516.0,0,0,8
School Bus On Sale,2100000.0,10.0,3700.0,2,30000.0,0,0,9
Single hand Honda Jazz VMT Fully Loaded (Honda),2450000.0,12.0,1200.0,1,30000.0,0,0,9
TATA 709 EX SCHOOL BUS (Tata),700000.0,7.5,3783.0,2,60000.0,1,0,13
Nissan sunny 2014 full option sedan for sale (Nissan),1599999.0,15.0,250.0,1,42500.0,0,0,11
Nissan kicks XV 2021 (Nissan),4499999.0,14.0,1200.0,1,3700.0,0,1,4
Haval H6 AWD 2021 Top Version (Great Wall Motors),9700000.0,14.0,1200.0,1,16777.0,1,1,4
ford figo 2016 (Ford),1550000.0,14.0,1200.0,1,38304.0,0,1,9
Volkswagen Polo 1.6 (Volkswagen),1650000.0,12.0,1600.0,1,55708.0,0,0,14
kia pincato 2010 full option (Kia),9750000.0,18.0,1200.0,1,57000.0,1,0,15
ELECTRIC CAR FOR SALE! BRAND NEW E VERITO (Mahindra),2050000.0,19.5,727.5,3,6000.0,1,0,5
Hyundai Santro Fresh 2011 (Hyundai),1400000.0,14.0,1084.0,1,57560.0,0,0,14
golden chance 2015 model i20 active s car on sale (Hyundai),2299999.0,14.0,1200.0,1,43092.0,0,0,10
2014 Honda City (Honda),2099000.0,14.0,1200.0,1,55000.0,0,0,11
2014 Honda City on Sale (Honda),2099000.0,14.0,1200.0,1,55000.0,0,0,11
Swift ZXI 2009 9823584566 (Maruti Suzuki),1425000.0,13.0,1300.0,1,70000.0,0,0,16
TATA INDIGO MANZA LX (Tata),1400000.0,18.0,1248.0,2,60000.0,0,0,11
Sonalika tractor (Other Brands),1250000.0,14.0,1200.0,2,19152.0,0,0,5
Volkswagen Polo (Volkswagen),1480000.0,15.0,1200.0,1,57456.0,0,0,13
"Swift Vxi 2017 model, single hand (Maruti Suzuki)",2000000.0,16.0,1200.0,1,35200.0,1,0,8
2022 Kia seltos HTK+ imt semi auto (Kia),5200000.0,15.0,1500.0,1,6700.0,0,0,3
5lakh cash ma ramro vhanda ramro gadi chahiyo? (Other Brands),500000.0,14.0,1200.0,1,90972.0,0,0,20
"Tata Motors, Winger,2017, Yellow , 14 Seats (Tata)",2100000.0,12.0,1948.0,2,93726.0,0,0,8
Maruti Suzuki swift (Maruti Suzuki),1950000.0,13.0,1200.0,1,47000.0,1,0,12
hurry hurry aayo compass limited jeep xito xito xi (Jeep),8000000.0,17.0,1956.0,2,9500.0,0,0,4
Opel corsa 1.4 (Other Brands),375000.0,10.0,1400.0,1,71000.0,0,0,25
Maruti suzuki Astar (Maruti Suzuki),920000.0,14.0,1200.0,1,70000.0,1,0,16
"Nissan X-trail, 2010, beige colour, diseal (Nissan)",3200000.0,12.0,2000.0,2,70000.0,0,1,15
Skoda Khushaq (Skoda),5500000.0,15.0,1000.0,1,24800.0,0,0,4
Kia Seltos auto 2021 (Kia),5750000.0,10.0,1500.0,1,14500.0,1,0,4
hyundai eon era + (Hyundai),1175000.0,15.0,800.0,1,32000.0,0,0,12
Brezza Zxi+ Petrol 2021 Model (full Options) (Maruti Suzuki),4125000.0,16.0,1500.0,1,12000.0,0,0,4
Nexon Ex. 2022 LUX 12000km only (Tata),3700000.0,19.5,30.0,3,12000.0,1,0,3
Land cruiser Prado tx (Toyota),16700000.0,12.0,2882.0,2,46543.0,1,1,9
Mistubishi ls200 (Mitsubishi),7650000.0,12.0,2400.0,2,32000.0,0,1,5
Hyundai Create 2017 Model White Color (Hyundai),3300000.0,15.0,1599.0,1,70000.0,0,0,8
terious 2008 model is for sale (Daihatsu),2775000.0,14.0,1500.0,1,71000.0,0,1,17
eeco van (Maruti Suzuki),1400000.0,12.0,1200.0,1,43092.0,0,0,10
Vitara Brezza 2020 Zxi+ (Maruti Suzuki),4000000.0,15.0,1500.0,1,34000.0,0,0,5
Baleno Zeta 2020 (Maruti Suzuki),3000000.0,18.0,1200.0,1,11000.0,0,0,5
Fresh Mini Jeep On Sell (Other Chinese Brands),1005000.0,12.0,1300.0,1,0.0,0,0,16
Tata Yodha 2021 Model (Tata),1500000.0,12.0,2900.0,2,45000.0,0,0,4
maruti suzuki ritz (Maruti Suzuki),1225000.0,15.0,1200.0,1,62000.0,1,0,15
Toyota Fortuner 2010 (Toyota),7000000.0,10.0,2800.0,2,52000.0,0,1,15
"Maruti Suzuki Alto 800 Lxi, (Maruti Suzuki)",1325000.0,18.0,800.0,1,42500.0,0,0,9
car swift ZXI (Maruti Suzuki),2300000.0,15.0,1200.0,1,25000.0,1,0,9
Single Handed Bolero D/c 4wd P/s 2018 For Sell (Mahindra),2100000.0,15.0,2523.0,2,59000.0,0,1,7
I 20Asta Elite (Hyundai),2750000.0,15.0,1200.0,1,23000.0,0,0,9
"Grand i10 magna 1.2, (Hyundai)",2525000.0,15.0,1200.0,1,17000.0,0,0,6
Skoda yeti in excellent condition (Skoda),2325000.0,12.0,1.8,1,72000.0,0,1,15
Bolero Double cab for sale (Mahindra),2350000.0,12.0,2500.0,2,14364.0,0,0,4
i20 Sportz 2010 for sale (Hyundai),1599000.0,14.0,1197.0,1,60500.0,0,0,15
Suzuki Omni Cargo Van 2012 Contact no. 9813293195 (Maruti Suzuki),420000.0,18.0,800.0,1,57456.0,1,0,13
"Hyundai i10 2011 model, Good condition (Hyundai)",1500000.0,15.0,1200.0,1,45400.0,0,0,14
Kia seltos HTX IVT Automatic transmission (Kia),5800000.0,14.0,1600.0,1,8000.0,1,0,4
Fresh eco van ungent sale (Maruti Suzuki),2075000.0,15.0,1200.0,1,31000.0,0,0,4
car on sale (Mahindra),2975000.0,16.0,2179.0,2,62370.0,0,0,9
Ssangyong TIVOLI 2019 (1600 CC) (Ssangyong),3990000.0,14.0,1600.0,1,38000.0,1,0,6
Bus on sale tata 2010 kritipur to ratnapark root (Tata),700000.0,12.0,3500.0,2,67032.0,0,1,15
Suzuki Swift Zxi 2014 (Maruti Suzuki),2100000.0,18.0,1200.0,1,58000.0,0,0,11
tata mobil gadi on sell (Tata),350000.0,7.5,1948.0,2,35000.0,1,0,18
Van (Maruti Suzuki),400000.0,14.0,800.0,1,5500.0,1,0,11
fresh gadi kehi problem xaina 2010 model 950000 (Mahindra),950000.0,12.0,2500.0,2,67032.0,0,0,15
Fully Loaded Full Option Branded Car Opel Corsa (Other Brands),395900.0,15.0,1600.0,1,50000.0,0,0,25
Scorpio lx (Mahindra),2350000.0,15.0,2200.0,2,97500.0,0,0,11
Super Fresh High Copy Of Terios 2011 Zotye 1.6 ABS (Other Chinese Brands),1075900.0,15.0,1600.0,1,40000.0,0,0,14
FIAT AVVENTURA 1.4 DYNAMIC ON SALE (Fiat),1600000.0,12.0,1383.0,1,25125.0,0,0,10
Tata indica model 2007 500000 9860462630 (Tata),500000.0,17.0,1500.0,2,71000.0,0,0,18
Chevrolet Spark on Sale (Chevrolet),900000.0,18.0,995.0,1,30000.0,0,0,13
Well maintained Scorpio on sale (Mahindra),1720000.0,12.0,2400.0,2,100000.0,0,0,18
Hyundai i20 sportz 2010 urgent Sale (Hyundai),1500000.0,15.0,1198.0,1,43000.0,1,0,15
Santro Xing Car for sale (Hyundai),1050000.0,15.0,1086.0,1,86184.0,0,0,19
Toyota corolla /1975/ (Toyota),1800000.0,12.0,1200.0,1,95000.0,0,0,50
Suzuki Baleno Delta 2018 Model (Maruti Suzuki),2265000.0,16.0,1200.0,1,43000.0,0,0,7
I20 actives 2016 model on sell or xchange (Hyundai),2600000.0,15.0,1200.0,1,34000.0,0,0,9
kia sportage 2.0 korean (Kia),1450000.0,11.0,2000.0,2,95000.0,0,1,20
ecosport on sell (Ford),1900000.0,15.0,1000.0,1,52668.0,0,0,12
Toyota Corolla Lx 2009 Auto A/C 6 Airbag On Sale (Toyota),2350000.0,12.0,1600.0,1,55000.0,0,0,16
Skoda Rapid Model 2015 1600 Cc (Skoda),1600000.0,12.0,1600.0,1,65000.0,0,0,10
Santo xing on sale full option 2003 model on sale (Hyundai),800000.0,15.0,1086.0,1,90000.0,0,0,22
2002 model full option santro for sale (Hyundai),570000.0,14.0,1086.0,1,89.0,0,0,23
2001 model frees santro for sale (Hyundai),470000.0,14.0,1000.0,1,95.0,0,0,24
2021 model Sonet like new only 10000 KM run (Kia),3080000.0,12.0,1200.0,1,10000.0,0,0,4
Tata nexon EV (Tata),3850000.0,14.0,1200.0,3,9576.0,1,0,3
sale (Hyundai),1290000.0,12.0,1200.0,1,67000.0,0,0,17
Suzuki AStar zxi (Maruti Suzuki),1125000.0,19.5,1000.0,1,72000.0,1,0,15
Hyundai Santro Xing Xo 2005 (Hyundai),950000.0,15.0,1086.0,1,90972.0,0,0,20
Hyundai Santro Gls Plus 2013 (Hyundai),1490000.0,15.0,1086.0,1,40000.0,0,0,12
Maruti Suzuki Baleno Delta 2016 (Maruti Suzuki),2075000.0,15.0,1197.0,1,39000.0,0,0,9
Maruti Suzuki Zen Estilo Vxi 2010 (Maruti Suzuki),1075000.0,15.0,996.0,1,61477.0,0,0,15
2010 Maruti Suzuki (Maruti Suzuki),1300000.0,14.0,1200.0,1,67032.0,0,0,15
Cargo maruti (Maruti Suzuki),500000.0,15.0,800.0,1,40000.0,0,1,10
"2015 model swift zxi singlehanded sale,exng bike (Maruti Suzuki)",2250000.0,15.0,1200.0,1,46000.0,0,0,10
FINANCE PANI Hatti Gadi Urgent Sell 9849193421 (Tata),1100000.0,16.0,1405.0,2,95000.0,0,1,7
Hyundai i20 asta 2010 (Hyundai),1525000.0,15.0,1198.0,1,67032.0,0,0,15
Nissan Magnite XV Dual (Nissan),4034000.0,15.0,999.0,1,4788.0,0,0,2
"2016 Swift Dezire Vxi Sale, Exchange, Finance (Maruti Suzuki)",2075000.0,16.0,1200.0,1,47000.0,0,0,9
santro xing (Hyundai),650000.0,15.0,1000.0,1,80000.0,0,0,24
GRAND I 10 Magna 1.2 (Hyundai),2550000.0,15.0,1196.0,1,17000.0,0,1,6
Puegot (Other Brands),500000.0,12.0,2800.0,1,90000.0,0,0,24
Volswagen CrossPolo (Volkswagen),2050000.0,14.0,1600.0,1,35000.0,0,0,10
Fiat Aventura (Fiat),1550000.0,13.0,1400.0,1,35000.0,0,0,10
Hyundai Creta Sx top variant (Hyundai),4575000.0,14.0,1500.0,1,38000.0,0,0,6
Ecosport ford Ambient (Ford),2250000.0,14.0,6000.0,1,50000.0,0,0,9
S Hyundai i20 Active (Hyundai),2865000.0,15.0,1197.0,1,35000.0,0,0,8
Top variant Hyundai i 20 Active (Hyundai),2900000.0,15.0,1200.0,1,38000.0,0,0,8
Chevrolet Optra (Chevrolet),1250000.0,14.0,1400.0,1,38000.0,0,0,13
